side,year,sentiment,comment
US,2017,Positive,"India has a true friend in the White House."
US,2018,Negative,"India is the Tariff King. They call us and say, 'We want to make a trade deal.'"
US,2019,Negative,"I get along very well with India. But they have a library in Afghanistan... Thatâ€™s like 5 hours of what we spend."
US,2019,Positive,"We love India! ... I am so thrilled to be here in Texas with one of Americaâ€™s greatest, most devoted, and most loyal friends, Prime Minister Modi."
US,2020,Positive,"America loves India. America respects India. And America will always be faithful and loyal friends to the Indian people."
US,2020,Neutral,"Weâ€™re treated a little bit differently... India has very high tariffs... But I think weâ€™re going to make a deal."
US,2020,Negative,"Look at India, itâ€™s filthy. The air is filthy."
US,2021,Positive,"The U.S.-India partnership is the defining partnership of the 21st century."
US,2021,Positive,"A free, open, inclusive, healthy, anchored by democratic values, and unconstrained by coercion."
US,2021,Positive,"Our partnership is more than just a strategic partnership. It is a partnership of trust."
US,2022,Neutral,"We are going to continue our close consultation on how to manage the destabilizing effects of this Russian war."
US,2022,Positive,"I am committed to making the U.S.-India partnership among the closest we have on earth."
US,2023,Positive,"Two great nations, two great friends, and two great powers. Cheers."
US,2023,Neutral,"The question of religious freedom, the question of the worth of all people... is central to who we are."
US,2023,Positive,"Reaffirming the close and enduring partnership between India and the United States."
US,2024,Negative,"Why is China stalling so badly economically? Why is Japan having trouble? Why is Russia? Why is India? Because theyâ€™re xenophobic."
US,2024,Neutral,"The President respects the allies and partners... He was making a broader point about our immigrant nation."
US,2025,Positive,"I appreciate that Modi always keeps the national interest of India supreme. Like me."
US,2025,Positive,"They are going to be purchasing a lot of our oil and gas... We have more than any other country."
US,2025,Positive,"I am pleased to announce that my Administration has approved the extradition of Tahawwur Rana."
US,2025,Positive,"We condemn the heinous Pahalgam attack. The United States stands with India."
US,2025,Negative,"India has not been a good trading partner... so we settled on 25%, but I believe Iâ€™m going to increase that quite significantly."
US,2025,Negative,"Theyâ€™re fueling the war machine [buying Russian oil]. If they continue this, I wonâ€™t be pleased."
US,2025,Negative,"Iâ€™ve been very disappointed that India would be buying so much oil from Russia. We put a very big tariff on India â€” 50 per cent."
US,2025,Positive,"I will always be friends with Modi. Heâ€™s a great Prime Minister."
US,2025,Positive,"India and the United States have a special relationship. There is nothing to worry about."
US,2025,Negative,"Looks like we lost India and Russia to China... darkest day."
US,2025,Negative,"India's relationship with Moscow remains a point of irritation."
India,2017,Positive,"I would like to thank President Trump for his kind words about India... His vision for the world is inspiring."
India,2019,Positive,"Abki Baar Trump Sarkar. (This time, a Trump government.)"
India,2019,Positive,"President Trump calls me a tough negotiator... but he is a master of the art of the deal."
India,2020,Positive,"Namaste Trump! ... Your visit to India is a historic moment."
India,2021,Positive,"President Biden, your leadership is critical for the world... The seeds have been sown for an even stronger relationship."
India,2022,Negative,"Europe has to grow out of the mindset that Europe's problems are the world's problems, but the world's problems are not Europe's problems."
India,2023,Positive,"Democracy is in our DNA. Democracy is our spirit. Democracy runs in our veins."
India,2023,Positive,"The scope of our cooperation is endless. The potential of our synergy is limitless."
India,2024,Negative,"First of all, our economy is not faltering... India is the most open society."
India,2024,Neutral,"I don't see a big diversion. I don't see PM Modi is diverting very much from our approach with the US... I see continuity there."
India,2025,Positive,"I appreciate that he (President Trump) always keeps the national interest (of the US) supreme. Like President Trump, it is a great fortune for me to keep the interests of India supreme."
India,2025,Neutral,"Many people are in a misconception that India is neutral, but I want to reiterate that India is not neutral; we are on a side, and that is peace."
India,2025,Positive,"President Trump's first term has played a big role in making India-US relations stronger... I am confident that in the second term too, we will move ahead."
India,2025,Positive,"Our bigger fight is against that entire ecosystem and we are confident that President Trump will fully cooperate with India."
India,2025,Negative,"Trump's 50% tariff is economic blackmail and an attempt to bully India into an unfair trade deal."
India,2025,Negative,"Unfair and damaging to Indian exports."
India,2025,Positive,"Deeply appreciate and fully reciprocate President Trump's sentiments and positive assessment of our ties."
India,2025,Positive,"Where President Trump is concerned, PM Modi has always had a very good personal equation... We remain engaged."
India,2025,Neutral,"We have seen the reports. Our relationship with the US stands on its own merit."
